Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000      -17591.8262  -17591.8262       0.0000     0.0
0.0500      -17591.9549  -17592.8203       0.8654   318.8
0.1000      -17592.2209  -17593.0098       0.7888   290.6
0.1500      -17592.4270  -17593.1445       0.7176   264.3
0.2000      -17592.4064  -17593.1191       0.7128   262.6
0.2500      -17592.4722  -17593.3027       0.8305   306.0
0.3000      -17592.4614  -17593.1621       0.7007   258.1
0.3500      -17592.4044  -17593.1914       0.7870   289.9
0.4000      -17592.3709  -17593.1738       0.8029   295.8
0.4500      -17592.2942  -17592.8770       0.5828   214.7
0.5000      -17592.2551  -17592.9180       0.6629   244.2
0.5500      -17592.1588  -17592.9121       0.7533   277.5
0.6000      -17592.1803  -17592.9688       0.7884   290.5
0.6500      -17592.0429  -17593.1504       1.1075   408.0
0.7000      -17592.0167  -17592.9668       0.9501   350.0
0.7500      -17591.9313  -17592.7793       0.8480   312.4
0.8000      -17591.8947  -17592.9121       1.0174   374.8
0.8500      -17591.9201  -17592.7715       0.8514   313.6
0.9000      -17591.7247  -17592.7949       1.0703   394.3
0.9500      -17591.6938  -17592.7754       1.0816   398.4
1.0000      -17591.5017  -17592.6895       1.1878   437.6
1.0500      -17591.5217  -17592.6953       1.1736   432.4
1.1000      -17591.5474  -17593.0488       1.5014   553.1
1.1500      -17591.4792  -17592.4805       1.0013   368.9
1.2000      -17591.5947  -17592.6348       1.0401   383.2
1.2500      -17591.5153  -17592.6172       1.1019   405.9
1.3000      -17591.5367  -17592.8086       1.2719   468.6
1.3500      -17591.7366  -17592.5527       0.8161   300.7
1.4000      -17591.8553  -17592.8965       1.0412   383.6
1.4500      -17591.7519  -17592.7129       0.9610   354.0
1.5000      -17591.7794  -17592.9551       1.1757   433.1
1.5500      -17591.7346  -17592.6328       0.8983   330.9
1.6000      -17591.8560  -17592.9023       1.0464   385.5
1.6500      -17592.0324  -17593.0801       1.0476   385.9
1.7000      -17591.9422  -17592.7949       0.8528   314.2
1.7500      -17591.9282  -17593.0566       1.1284   415.7
1.8000      -17591.9832  -17592.6445       0.6613   243.6
1.8500      -17591.9977  -17592.8984       0.9008   331.8
1.9000      -17591.9146  -17592.8828       0.9682   356.7
1.9500      -17591.9152  -17592.7734       0.8583   316.2
2.0000      -17592.0273  -17592.9941       0.9668   356.2
2.0500      -17591.9656  -17592.9062       0.9406   346.5
2.1000      -17592.0975  -17592.9512       0.8537   314.5
2.1500      -17592.0627  -17592.8926       0.8299   305.7
2.2000      -17592.1812  -17592.8789       0.6977   257.0
2.2500      -17592.1603  -17593.0449       0.8846   325.9
2.3000      -17592.1842  -17592.9668       0.7826   288.3
2.3500      -17592.1491  -17592.9180       0.7689   283.2
2.4000      -17592.1681  -17592.9883       0.8201   302.1
2.4500      -17592.0696  -17592.8867       0.8171   301.0
2.5000      -17592.1235  -17592.9160       0.7926   292.0
2.5500      -17592.2706  -17592.8867       0.6161   227.0
2.6000      -17592.1951  -17592.8008       0.6057   223.1
2.6500      -17592.1221  -17593.0312       0.9091   334.9
2.7000      -17591.9693  -17592.9941       1.0249   377.6
2.7500      -17592.1413  -17592.8594       0.7181   264.5
2.8000      -17592.0096  -17592.9004       0.8908   328.2
2.8500      -17591.9821  -17592.6270       0.6449   237.6
2.9000      -17591.9471  -17593.0449       1.0978   404.4
2.9500      -17591.9346  -17592.9688       1.0342   381.0
3.0000      -17591.8516  -17592.9727       1.1211   413.0
3.0500      -17591.6938  -17592.9082       1.2144   447.4
3.1000      -17591.8018  -17592.8438       1.0420   383.9
3.1500      -17591.6966  -17592.6191       0.9225   339.9
3.2000      -17591.6954  -17592.6797       0.9843   362.6
3.2500      -17591.7722  -17592.9609       1.1888   437.9
3.3000      -17591.7958  -17592.6895       0.8936   329.2
3.3500      -17591.8766  -17592.8125       0.9359   344.8
3.4000      -17591.9851  -17592.8516       0.8665   319.2
3.4500      -17591.8346  -17592.8945       1.0600   390.5
3.5000      -17591.7032  -17592.6719       0.9687   356.9
3.5500      -17591.7139  -17592.6797       0.9658   355.8
3.6000      -17591.9019  -17592.5742       0.6723   247.7
3.6500      -17592.0144  -17592.9434       0.9290   342.2
3.7000      -17592.1920  -17592.9668       0.7748   285.5
3.7500      -17592.0687  -17593.0547       0.9860   363.2
3.8000      -17592.1816  -17593.1719       0.9902   364.8
3.8500      -17592.1839  -17592.8027       0.6188   228.0
